"UniversityName","FinancialAid","Tuition","AdmissionRate","ApplicationFee"
"Manthano Christian College","","7050 in-state and 7050 out-of-state ","","25"
"Maranatha Baptist University","9009","15410 in-state and 15410 out-of-state ","73","50"
"Maria College","12300","15140 in-state and 15140 out-of-state ","44","35"
"Marian University","","27400 in-state and 27400 out-of-state ","68","20"
"Marietta College","38878","36040 in-state and 36040 out-of-state ","93","0"
"Marion Military Institute","","9418 in-state and 15418 out-of-state ","56","30"
"Marion Technical College","","5282 in-state and 7202 out-of-state ","","20"
"Marist College","27579","39600 in-state and 39600 out-of-state ","43","50"
"Marlboro College","44049","40840 in-state and 40840 out-of-state ","97","50"
"Marquette University","29812","41870 in-state and 41870 out-of-state ","89","0"
"Mars Hill University","22580","32968 in-state and 32968 out-of-state ","58","25"
"Marshall University","12330","8128 in-state and 18614 out-of-state ","90","40"
"Martin Community College","","2318 in-state and 8078 out-of-state ","100","0"
"Martin Luther College","12508","15410 in-state and 15410 out-of-state ","71","0"
"Martin Methodist College","","24246 in-state and 24246 out-of-state ","99","30"
"Martin University","","16500 in-state and 16500 out-of-state ","","25"
"Mary Baldwin University","31700","31085 in-state and 31085 out-of-state ","95","0"
"Marygrove College","","23630 in-state and 23630 out-of-state ","41","0"
"Maryland Institute College of Art","","48630 in-state and 48630 out-of-state ","62","70"
"Marylhurst University","0","20835 in-state and 20835 out-of-state ","","0"
"Marymount California University","35846","36134 in-state and 36134 out-of-state ","83","50"
"Marymount Manhattan College","19019","33778 in-state and 33778 out-of-state ","79","60"
"Maryville College","33305","34880 in-state and 34880 out-of-state ","49","0"
"Maryville University of Saint Louis","20091","28470 in-state and 28470 out-of-state ","92","0"
"Massachusetts Bay Community College","","6360 in-state and 12540 out-of-state ","96","0"
"Massachusetts College of Liberal Arts","15219","10734 in-state and 19679 out-of-state ","77","0"
"Massasoit Community College","","6030 in-state and 12210 out-of-state ","","0"
"Mayland Community College","","2409 in-state and 8169 out-of-state ","","0"
"Maysville Community and Technical College","","5310 in-state and 18000 out-of-state ","","0"
"Mayville State University","10027","6666 in-state and 9399 out-of-state ","48","35"
"McCann School of Business and Technology: Pottsville",""," in-state  out-of-state ","","40"
"McDaniel College","39191","43260 in-state and 43260 out-of-state ","85","50"
"McDowell Technical Community College","","2333 in-state and 8093 out-of-state ","","0"
"McHenry County College","","3494 in-state and 14603 out-of-state ","100","15"
"McLennan Community College","","3450 in-state and 5700 out-of-state ","100","0"
"McMurry University","21590","27244 in-state and 27244 out-of-state ","43","25"
"McNally Smith College of Music","244454","29300 in-state and 29300 out-of-state ","","75"
"McNeese State University","","7859 in-state and 18934 out-of-state ","62","20"
"McPherson College","25733","28951 in-state and 28951 out-of-state ","69","0"
"Medaille College","","29500 in-state and 29500 out-of-state ","","25"
"Medical University of South Carolina","","26826 in-state and 26826 out-of-state ","","95"
"Mendocino College","","1420 in-state and 9160 out-of-state ","","0"
"Menlo College","","42800 in-state and 42800 out-of-state ","43","40"
"Merced College","","1436 in-state and 9176 out-of-state ","","0"
"Mercer County Community College","","5257 in-state and 9547 out-of-state ","58","0"
"Mercer University","37448","36894 in-state and 36894 out-of-state ","73","50"
"Mercy College","15270","19042 in-state and 19042 out-of-state ","79","40"
"Mercy College of Health Sciences","9846","17752 in-state and 17752 out-of-state ","","0"
"Mercy College of Ohio","","15240 in-state and 15240 out-of-state ","57","25"
"Mercyhurst University","","38070 in-state and 38070 out-of-state ","70","0"
"Meredith College","26518","37176 in-state and 37176 out-of-state ","69","40"
"Meridian Community College","","3015 in-state and 3995 out-of-state ","","0"
"Merrimack College","24754","41760 in-state and 41760 out-of-state ","82","0"
"Merritt College","","1420 in-state and 9610 out-of-state ","","0"
"Mesabi Range College","","5084 in-state and 6266 out-of-state ","","20"
"Mesalands Community College","","2250 in-state and 3630 out-of-state ","","0"
"Mesivta Torah Vodaath Seminary","","10000 in-state and 10000 out-of-state ","","200"
"Methodist College","","20800 in-state and 20800 out-of-state ","","50"
"Methodist University","","33846 in-state and 33846 out-of-state ","","50"
"Metropolitan College of New York","13461","19454 in-state and 19454 out-of-state ","91","30"
"Metropolitan Community College","","3105 in-state and 4545 out-of-state ","","0"
"Metropolitan Community College - Kansas City","","3090 in-state and 7110 out-of-state ","","0"
"Metropolitan State University","","7879 in-state and 14980 out-of-state ","","0"
"Metropolitan State University of Denver","7475","7665 in-state and 20847 out-of-state ","64","25"
"Miami Dade College","5340","3547 in-state and 12075 out-of-state ","","30"
"Miami International University of Art and Design",""," in-state  out-of-state ","","50"
"Miami University: Middletown","","5880 in-state and 16472 out-of-state ","","35"
"Miami University: Oxford","14415","15378 in-state and 34895 out-of-state ","68","50"
"Miami-Jacobs Career College: Dayton",""," in-state  out-of-state ","","40"
"Michigan Jewish Institute","","10600 in-state and 10600 out-of-state ","","50"
"Michigan State University","14029","14460 in-state and 39765 out-of-state ","72","65"
"Michigan Technological University","16495","15646 in-state and 33726 out-of-state ","74","0"
"Mid Michigan Community College","","4744 in-state and 7080 out-of-state ","","0"
"Mid-America Christian University","","18334 in-state and 18334 out-of-state ","","0"
"Mid-America College of Funeral Service","","15600 in-state and 15600 out-of-state ","","50"
"MidAmerica Nazarene University","25049","30736 in-state and 30736 out-of-state ","66","0"
"Mid-Atlantic Christian University","8414","14400 in-state and 14400 out-of-state ","53","50"
"Middle Georgia State University","","4608 in-state and 13568 out-of-state ","","25"
"Middle Tennessee State University","10581","9206 in-state and 28364 out-of-state ","59","25"
"Middlebury College","","","17","65"
"Middlesex Community College","","6450 in-state and 12630 out-of-state ","","0"
"Middlesex County College","","4410 in-state and 4410 out-of-state ","","25"
"Midland College","","2670 in-state and 5550 out-of-state ","","0"
"Midland University","","32558 in-state and 32558 out-of-state ","","30"
"Midlands Technical College","","5598 in-state and 16278 out-of-state ","","35"
"Midstate College","","10820 in-state and 10820 out-of-state ","","25"
"Mid-State Technical College","","4026 in-state and 6039 out-of-state ","","30"
"Midway University","","24650 in-state and 24650 out-of-state ","","25"
"Midwest University","","7770 in-state and 7770 out-of-state ","","100"
"Midwestern State University","10955","9019 in-state and 10969 out-of-state ","81","25"
"Mildred Elley: Albany","","15000 in-state and 15000 out-of-state ","","25"
"Miles College","","11604 in-state and 11604 out-of-state ","","0"
"Miles Community College","","4230 in-state and 8820 out-of-state ","","30"
"Miller-Motte Technical College",""," in-state  out-of-state ","","40"
"Miller-Motte Technical College: Clarksville",""," in-state  out-of-state ","","40"
"Miller-Motte Technical College: Lynchburg",""," in-state  out-of-state ","","35"
"Millersville University of Pennsylvania","7836","12226 in-state and 21946 out-of-state ","80","50"
"Milligan College","26027","33700 in-state and 33700 out-of-state ","67","30"
"Millikin University","","","65","0"
"Mills College","49500","30257 in-state and 30257 out-of-state ","87","50"
"Millsaps College","35521","39910 in-state and 39910 out-of-state ","49","0"
"Milwaukee Area Technical College","","4515 in-state and 6528 out-of-state ","96","30"
"Milwaukee Institute of Art &amp; Design","24391","37360 in-state and 37360 out-of-state ","31","25"
"Milwaukee School of Engineering","30726","40749 in-state and 40749 out-of-state ","63","0"
"Mineral Area College","","3670 in-state and 6430 out-of-state ","","15"
"Minneapolis Business College",""," in-state  out-of-state ","","50"
"Minneapolis College of Art and Design","25621","39210 in-state and 39210 out-of-state ","59","50"
"Minneapolis Community and Technical College","","5396 in-state and 5396 out-of-state ","","20"
"Minnesota State College - Southeast Technical","5968","5628 in-state and 5628 out-of-state ","","20"
"Minnesota State Community and Technical College","","5358 in-state and 5358 out-of-state ","73","20"
"Minnesota State University Mankato","9733","8184 in-state and 16235 out-of-state ","","20"
"Minnesota State University Moorhead","2706","8574 in-state and 15983 out-of-state ","60","20"
"Minnesota West Community and Technical College","","5692 in-state and 5692 out-of-state ","","20"
"Minot State University","9946","7064 in-state and 7064 out-of-state ","69","35"
"MiraCosta College","","1428 in-state and 8448 out-of-state ","","0"
"Misericordia University","25752","33240 in-state and 33240 out-of-state ","79","0"
"Mississippi College","16486","18026 in-state and 18026 out-of-state ","","25"
"Mississippi Delta Community College","","3060 in-state and 4668 out-of-state ","","0"
"Mississippi Gulf Coast Community College","","3320 in-state and 6420 out-of-state ","","0"
"Mississippi University for Women","","7040 in-state and 7040 out-of-state ","","0"
"Mississippi Valley State University","","6570 in-state and 6570 out-of-state ","86","0"
"Missouri Baptist University","","27124 in-state and 27124 out-of-state ","54","35"
"Missouri College",""," in-state  out-of-state ","","35"
"Missouri Southern State University","8367","6967 in-state and 13934 out-of-state ","95","25"
"Missouri State University: West Plains","","4305 in-state and 8355 out-of-state ","","15"
"Missouri University of Science and Technology","16722","10169 in-state and 28499 out-of-state ","84","50"
"Mitchell College","22393","33200 in-state and 33200 out-of-state ","78","30"
"Mitchell Community College","","2348 in-state and 8108 out-of-state ","","0"
"Mitchell Technical Institute","","6300 in-state and 6300 out-of-state ","63","0"
"Moberly Area Community College","","3450 in-state and 6840 out-of-state ","","0"
"Modesto Junior College","","1416 in-state and 9156 out-of-state ","","0"
"Mohave Community College","","2640 in-state and 8715 out-of-state ","","0"
"Mohawk Valley Community College","7944","5256 in-state and 9626 out-of-state ","","0"
"Molloy College","19410","31490 in-state and 31490 out-of-state ","76","40"
"Monmouth College","","","67","0"
"Monmouth University","28429","38138 in-state and 38138 out-of-state ","74","50"
"Monroe College","","15428 in-state and 15428 out-of-state ","53","35"
"Monroe Community College","","4986 in-state and 9466 out-of-state ","","0"
"Monroe County Community College","","3965 in-state and 7175 out-of-state ","","0"
"Montana Bible College","","8120 in-state and 8120 out-of-state ","100","50"
"Montana State University","11554","7421 in-state and 24849 out-of-state ","83","30"
"Montana State University: Billings","9959","5930 in-state and 19250 out-of-state ","100","30"
"Montana State University: Northern","","5956 in-state and 18556 out-of-state ","","30"
"Montana Tech of the University of Montana","","7411 in-state and 22574 out-of-state ","92","30"
"Montcalm Community College","","4530 in-state and 11280 out-of-state ","","0"
"Montclair State University","9632","12790 in-state and 20578 out-of-state ","71","65"
"Monterey Peninsula College","","1450 in-state and 9190 out-of-state ","","0"
"Montgomery Community College","","2385 in-state and 8145 out-of-state ","","0"
"Montgomery County Community College","4058","5730 in-state and 14970 out-of-state ","","0"
"Montreat College","21476","26670 in-state and 26670 out-of-state ","","0"
"Montserrat College of Art","","33400 in-state and 33400 out-of-state ","","50"
"Moody Bible Institute","","13565 in-state and 13565 out-of-state ","","50"
"Moore College of Art and Design","","41728 in-state and 41728 out-of-state ","54","60"
"Moorpark College","","1448 in-state and 9248 out-of-state ","","0"
"Moraine Park Technical College","","4065 in-state and 4065 out-of-state ","","30"
"Moraine Valley Community College","","4356 in-state and 11196 out-of-state ","","0"
"Moravian College","32824","43636 in-state and 43636 out-of-state ","76","0"
"Morehead State University","","9170 in-state and 13646 out-of-state ","80","30"
"Morehouse College","23454","27574 in-state and 27574 out-of-state ","74","50"
"Moreno Valley College","","1416 in-state and 8436 out-of-state ","","0"
"Morgan Community College","","4645 in-state and 18505 out-of-state ","","0"
"Morgan State University","11178","7900 in-state and 18167 out-of-state ","80","45"
"Morningside College","25670","31530 in-state and 31530 out-of-state ","55","0"
"Morrison Institute of Technology","","16100 in-state and 16100 out-of-state ","","30"
"Morton College","4994","4080 in-state and 9840 out-of-state ","","10"
"Motlow State Community College","6202","4445 in-state and 13211 out-of-state ","","0"
"Mount Aloysius College","15500","23110 in-state and 23110 out-of-state ","61","30"
"Mount Angel Seminary","","15912 in-state and 15912 out-of-state ","78","29"
"Mount Carmel College of Nursing","5984","13907 in-state and 13907 out-of-state ","63","30"
"Mount Holyoke College","41558","49998 in-state and 49998 out-of-state ","51","60"
"Mount Marty College","29970","27276 in-state and 27276 out-of-state ","95","35"
"Mount Mary University","27705","30100 in-state and 30100 out-of-state ","56","0"
"Mount Mercy University","25722","31798 in-state and 31798 out-of-state ","57","0"
"Mount Saint Mary College","23758","31118 in-state and 31118 out-of-state ","93","45"
"Mount Saint Mary's University","34579","41170 in-state and 41170 out-of-state ","81","50"
"Mount San Antonio College","","1442 in-state and 9414 out-of-state ","","0"
"Mount St. Joseph University","24612","30100 in-state and 30100 out-of-state ","73","25"
"Mount St. Mary's University","32667","41350 in-state and 41350 out-of-state ","64","45"
"Mount Vernon Nazarene University","25284","29244 in-state and 29244 out-of-state ","75","25"
"Mount Wachusett Community College","5680","6510 in-state and 12660 out-of-state ","98","0"
"Mountain Empire Community College","","4710 in-state and 10638 out-of-state ","","0"
"Mt. Hood Community College","","5407 in-state and 10312 out-of-state ","","0"
"Mt. Sierra College","","15688 in-state and 15688 out-of-state ","","50"
"MTI College","","15250 in-state and 15250 out-of-state ","","50"
"Muhlenberg College","37050","52595 in-state and 52595 out-of-state ","48","50"
"Murray State College","","4820 in-state and 10970 out-of-state ","","10"
"Murray State University","11656","9084 in-state and 24540 out-of-state ","87","40"
"Muskegon Community College","","4515 in-state and 10020 out-of-state ","","0"
"Muskingum University","25880","28516 in-state and 28516 out-of-state ","74","0"
"Myotherapy Institute","","11225 in-state and 11225 out-of-state ","","150"
"Napa Valley College","","1414 in-state and 9154 out-of-state ","","0"
"Naropa University","39539","31790 in-state and 31790 out-of-state ","100","50"
"Nash Community College","","2900 in-state and 9700 out-of-state ","","0"
"Nashville State Community College","","4395 in-state and 17301 out-of-state ","68","20"
"Nassau Community College","","5880 in-state and 11230 out-of-state ","","50"
"National American University: Albuquerque","","16200 in-state and 16200 out-of-state ","","25"
"National American University: Rapid City","","17175 in-state and 17175 out-of-state ","","0"
"National College: Columbus","","14460 in-state and 14460 out-of-state ","","50"
"National College: Nashville","","14460 in-state and 14460 out-of-state ","","50"
"National Paralegal College","","7995 in-state and 7995 out-of-state ","82","0"
"National Park College","","2700 in-state and 4110 out-of-state ","","0"
"National University","","16710 in-state and 16710 out-of-state ","","60"
"National University College: Bayamon","766"," in-state  out-of-state ","","25"
"National University of Health Sciences","","12609 in-state and 12609 out-of-state ","","55"
"National-Louis University","","10710 in-state and 10710 out-of-state ","86","0"
"Naugatuck Valley Community College","","4404 in-state and 13172 out-of-state ","92","20"
"Navajo Technical University","","2360 in-state and 2360 out-of-state ","100","0"
"Navarro College","","2400 in-state and 5400 out-of-state ","","0"
"Nazarene Bible College","","14700 in-state and 14700 out-of-state ","","0"
"Nazareth College","28120","34280 in-state and 34280 out-of-state ","63","45"
"Nebraska Christian College","10227","17665 in-state and 17665 out-of-state ","44","40"
"Nebraska College of Technical Agriculture","10382","5036 in-state and 5036 out-of-state ","100","45"
"Nebraska Indian Community College","","5125 in-state and 5125 out-of-state ","100","50"
"Nebraska Methodist College of Nursing and Allied Health","11629","18048 in-state and 18048 out-of-state ","68","25"
"Nebraska Wesleyan University","","34202 in-state and 34202 out-of-state ","71","0"
"Neosho County Community College","","3120 in-state and 3120 out-of-state ","","0"
"Ner Israel Rabbinical College","","12400 in-state and 12400 out-of-state ","","100"
"Neumann University","","31400 in-state and 31400 out-of-state ","96","35"
"Neumont College of Computer Science","8573","24750 in-state and 24750 out-of-state ","84","35"
"Nevada State College","","5438 in-state and 17458 out-of-state ","86","30"
"New Castle School of Trades",""," in-state  out-of-state ","","25"
"New College of Florida","16063","6919 in-state and 29944 out-of-state ","69","30"
"New England College","27668","37914 in-state and 37914 out-of-state ","100","35"
"New England College of Business and Finance",""," in-state  out-of-state ","","50"
"New England Conservatory of Music","28971","48750 in-state and 48750 out-of-state ","33","120"
"New England Culinary Institute","","22210 in-state and 22210 out-of-state ","","35"
"New England Institute of Technology","","29940 in-state and 29940 out-of-state ","","25"
"New Hampshire Institute of Art","16896","28280 in-state and 28280 out-of-state ","58","30"
"New Hope Christian College","","14880 in-state and 14880 out-of-state ","","50"
"New Jersey City University","10719","12051 in-state and 21573 out-of-state ","91","50"
"New Jersey Institute of Technology","13628","17338 in-state and 32750 out-of-state ","61","75"
"New Mexico Highlands University","1553","6150 in-state and 10302 out-of-state ","69","15"
"New Mexico Institute of Mining and Technology","11791","7770 in-state and 22268 out-of-state ","22","15"
"New Mexico Junior College","","1452 in-state and 2196 out-of-state ","","0"
"New Mexico Military Institute","","6797 in-state and 14469 out-of-state ","","85"
"New Mexico State University at Alamogordo","","2064 in-state and 5376 out-of-state ","","20"
"New Mexico State University at Carlsbad","","1376 in-state and 1376 out-of-state ","","0"
"New Orleans Baptist Theological Seminary","","7775 in-state and 7775 out-of-state ","","25"
"New River Community and Technical College","","4526 in-state and 7140 out-of-state ","","0"
"New River Community College","","4697 in-state and 10703 out-of-state ","","0"
"New Saint Andrews College","5750","12800 in-state and 12800 out-of-state ","74","40"
"New York Institute of Technology","24827","36890 in-state and 36890 out-of-state ","77","50"
"New York School of Interior Design","4893","30834 in-state and 30834 out-of-state ","","60"
"New York University","35892","51828 in-state and 51828 out-of-state ","28","80"
"Newbury College","","35540 in-state and 35540 out-of-state ","75","0"
"Newman University","14494","30724 in-state and 30724 out-of-state ","64","0"
"NewSchool of Architecture &amp; Design","14513"," in-state  out-of-state ","","75"
"NHTI-Concord's Community College","5353","7200 in-state and 15450 out-of-state ","","20"
"Niagara County Community College","","5027 in-state and 11615 out-of-state ","77","0"
"Niagara University","28761","33180 in-state and 33180 out-of-state ","84","0"
"Nicholls State University","10845","7982 in-state and 9075 out-of-state ","94","20"
"Nichols College","32635","34800 in-state and 34800 out-of-state ","93","0"
"Nicolet Area Technical College","","4404 in-state and 6437 out-of-state ","","30"
"Norco College","","1416 in-state and 8436 out-of-state ","","0"
"Norfolk State University","","9490 in-state and 21418 out-of-state ","","45"
"Normandale Community College","","5789 in-state and 5789 out-of-state ","","20"
"North Arkansas College","","2850 in-state and 5790 out-of-state ","","0"
"North Carolina Central University","","6348 in-state and 19055 out-of-state ","83","40"
"North Carolina State University","13222","9101 in-state and 28444 out-of-state ","54","85"
"North Carolina Wesleyan College","2649","31000 in-state and 31000 out-of-state ","98","0"
"North Central College","","38880 in-state and 38880 out-of-state ","54","25"
"North Central Kansas Technical College","","3930 in-state and 3930 out-of-state ","","50"
"North Central Michigan College","","3570 in-state and 7710 out-of-state ","","0"
"North Central Missouri College","","3510 in-state and 6210 out-of-state ","","20"
"North Central State College","","4998 in-state and 9020 out-of-state ","","0"
"North Central Texas College","","2730 in-state and 7980 out-of-state ","","0"
"North Central University","","24240 in-state and 24240 out-of-state ","","25"
"North Country Community College","","6008 in-state and 12638 out-of-state ","","0"
"North Dakota State University","12377","9294 in-state and 13273 out-of-state ","92","35"
"North Florida Community College","","3179 in-state and 12095 out-of-state ","","20"
"North Georgia Technical College","","3268 in-state and 5938 out-of-state ","","25"
"North Greenville University","","19750 in-state and 19750 out-of-state ","60","30"
"North Hennepin Community College","","5542 in-state and 5542 out-of-state ","","20"
"North Idaho College","","4245 in-state and 10815 out-of-state ","","25"
"North Iowa Area Community College","3434","5408 in-state and 7721 out-of-state ","","0"
"North Lake College","","1770 in-state and 5220 out-of-state ","","0"
"North Park University","","29190 in-state and 29190 out-of-state ","","40"
"North Seattle College","","4027 in-state and 4462 out-of-state ","","0"
"North Shore Community College","","6450 in-state and 13410 out-of-state ","94","0"
"Northampton Community College","","4380 in-state and 14100 out-of-state ","100","25"
"Northcentral Technical College","4905","4026 in-state and 6039 out-of-state ","","30"
"Northcentral University","","11064 in-state and 11064 out-of-state ","","0"
"Northeast Community College","","3480 in-state and 4635 out-of-state ","","0"
"Northeast Iowa Community College","","5432 in-state and 5992 out-of-state ","99","0"
"Northeast Mississippi Community College","","3816 in-state and 6656 out-of-state ","","0"
"Northeast State Community College","","4451 in-state and 17357 out-of-state ","","10"
"Northeast Texas Community College","","2849 in-state and 6149 out-of-state ","","0"
"Northeast Wisconsin Technical College","","4473 in-state and 6486 out-of-state ","","30"
"Northeastern Illinois University","10174","14022 in-state and 25907 out-of-state ","69","30"
"Northeastern Junior College","","5072 in-state and 7910 out-of-state ","100","0"
"Northeastern State University","11859","6650 in-state and 14720 out-of-state ","90","25"
"Northeastern Technical College","","5490 in-state and 8940 out-of-state ","","30"
"Northeastern University","","51387 in-state and 51387 out-of-state ","27","75"
"Northern Illinois University","14067","12262 in-state and 12262 out-of-state ","53","40"
"Northern Kentucky University","11887","10032 in-state and 19680 out-of-state ","90","40"
"Northern Maine Community College","7762","3820 in-state and 6640 out-of-state ","","20"
"Northern Michigan University","","10988 in-state and 16484 out-of-state ","","30"
"Northern Oklahoma College","5198","4170 in-state and 10755 out-of-state ","100","0"
"Northern State University","10752","8498 in-state and 11471 out-of-state ","88","20"
"Northern Vermont University","","12434 in-state and 25754 out-of-state ","","40"
"Northern Virginia Community College","","5610 in-state and 11618 out-of-state ","","0"
"Northland College","32280","36183 in-state and 36183 out-of-state ","61","0"
"Northland Community &amp; Technical College","","5549 in-state and 5549 out-of-state ","","20"
"Northland Pioneer College","","2310 in-state and 10740 out-of-state ","","0"
"Northpoint Bible College","","12580 in-state and 12580 out-of-state ","","35"
"Northwest Arkansas Community College","","3208 in-state and 4708 out-of-state ","","10"
"Northwest Christian University","24111","30050 in-state and 30050 out-of-state ","69","0"
"Northwest College","","3420 in-state and 7932 out-of-state ","","0"
"Northwest Florida State College","","3324 in-state and 11634 out-of-state ","","0"
"Northwest Indian College","","5445 in-state and 14310 out-of-state ","71","0"
"Northwest Iowa Community College","","5070 in-state and 5370 out-of-state ","","0"
"Northwest Kansas Technical College","","8300 in-state and 8300 out-of-state ","","25"
"Northwest Mississippi Community College","","3000 in-state and 5400 out-of-state ","","0"
"Northwest Missouri State University","11144","9805 in-state and 16457 out-of-state ","74","25"
"Northwest Nazarene University","25716","29300 in-state and 29300 out-of-state ","96","0"
"Northwest School of Wooden Boatbuilding","","19500 in-state and 19500 out-of-state ","","100"
"Northwest State Community College","","5102 in-state and 9942 out-of-state ","","0"
"Northwest Technical College","","5488 in-state and 5488 out-of-state ","","20"
"Northwest University","22852","31540 in-state and 31540 out-of-state ","","30"
"Northwest Vista College","","2720 in-state and 13730 out-of-state ","","0"
"Northwestern College","","18485 in-state and 18485 out-of-state ","","25"
"Northwestern Connecticut Community College","","4404 in-state and 13172 out-of-state ","","20"
"Northwestern Health Sciences University","","13380 in-state and 13380 out-of-state ","","50"
"Northwestern Michigan College","","4174 in-state and 9611 out-of-state ","","0"
"Northwestern Oklahoma State University","","7036 in-state and 14153 out-of-state ","65","15"
"Northwestern Polytechnic University","","10700 in-state and 10700 out-of-state ","","60"
"Northwestern University","50668","54567 in-state and 54567 out-of-state ","9","75"
"Northwest-Shoals Community College","","4695 in-state and 8565 out-of-state ","100","0"
"Northwood University: Michigan","20656","27060 in-state and 27060 out-of-state ","69","30"
"Norwich University","37575","40016 in-state and 40016 out-of-state ","65","0"
"Nossi College of Art","","17700 in-state and 17700 out-of-state ","","100"
"Notre Dame College","","30160 in-state and 30160 out-of-state ","89","0"
"Notre Dame de Namur University","30407","35350 in-state and 35350 out-of-state ","80","50"
"Notre Dame of Maryland University","","36900 in-state and 36900 out-of-state ","95","0"
"Nova Southeastern University","32899","30900 in-state and 30900 out-of-state ","58","50"
"Nueta Hidatsa Sahnish College","","3870 in-state and 3870 out-of-state ","","25"
"Nunez Community College","","4175 in-state and 7674 out-of-state ","","20"
"Nyack College","23731","25350 in-state and 25350 out-of-state ","98","25"
"Oak Hills Christian College","","17314 in-state and 17314 out-of-state ","","0"
"Oakland City University","23488","24000 in-state and 24000 out-of-state ","67","0"
"Oakland Community College","","2960 in-state and 5540 out-of-state ","","0"
"Oakland University","","12606 in-state and 24230 out-of-state ","","0"
"Oakton Community College","","4292 in-state and 13375 out-of-state ","","25"
"Oakwood University","","16720 in-state and 16720 out-of-state ","","25"
"Oberlin College","42825","55054 in-state and 55054 out-of-state ","34","0"
"Occidental College","48188","54686 in-state and 54686 out-of-state ","42","65"
"Ocean County College","","4515 in-state and 7695 out-of-state ","","0"
"Odessa College","","2794 in-state and 5450 out-of-state ","","0"
"Oglala Lakota College","","3560 in-state and 3560 out-of-state ","","40"
"Oglethorpe University","33750","38100 in-state and 38100 out-of-state ","58","50"
"Ohio Business College: Sheffield","3140"," in-state  out-of-state ","","25"
"Ohio Christian University","","23306 in-state and 23306 out-of-state ","","25"
"Ohio Dominican University","","31080 in-state and 31080 out-of-state ","75","0"
"Ohio Northern University","27782","32260 in-state and 32260 out-of-state ","66","0"
"Ohio State University: Columbus Campus","14976","10726 in-state and 30742 out-of-state ","48","60"
"Ohio Technical College","","28544 in-state and 28544 out-of-state ","","50"
"Ohio University: Zanesville Campus","","5490 in-state and 8482 out-of-state ","90","20"
"Ohio Valley College of Technology",""," in-state  out-of-state ","","25"
"Ohio Valley University","13511","21900 in-state and 21900 out-of-state ","","0"
"Ohio Wesleyan University","36981","45760 in-state and 45760 out-of-state ","71","0"
"Ohlone College","","1419 in-state and 8409 out-of-state ","","0"
"Oklahoma Baptist University","24504","28258 in-state and 28258 out-of-state ","65","0"
"Oklahoma Christian University","23204","22760 in-state and 22760 out-of-state ","63","25"
"Oklahoma City Community College","","4059 in-state and 9810 out-of-state ","","25"
"Oklahoma Panhandle State University","","8194 in-state and 9133 out-of-state ","","0"
"Oklahoma State University","14954","9019 in-state and 24539 out-of-state ","74","40"
"Oklahoma State University Institute of Technology: Okmulgee","10213","5550 in-state and 11160 out-of-state ","31","0"
"Oklahoma State University: Oklahoma City","2487","4479 in-state and 11559 out-of-state ","","0"
"Oklahoma Wesleyan University","16873","26956 in-state and 26956 out-of-state ","62","0"
"Old Dominion University","12247","10872 in-state and 29772 out-of-state ","86","50"
"Olivet College","25700","27700 in-state and 27700 out-of-state ","48","25"
"Olivet Nazarene University","30970","36070 in-state and 36070 out-of-state ","66","25"
"Olympic College","","4252 in-state and 4784 out-of-state ","","0"
"O'More College of Design","","29880 in-state and 29880 out-of-state ","","50"
"Onondaga Community College","7433","5484 in-state and 10384 out-of-state ","90","0"
"Oral Roberts University","","27728 in-state and 27728 out-of-state ","","35"
"Orange Coast College","","1438 in-state and 9568 out-of-state ","","0"
"Orange County Community College","","5288 in-state and 9974 out-of-state ","82","30"
"Orangeburg-Calhoun Technical College","","5750 in-state and 9200 out-of-state ","","0"
"Oregon College of Art &amp; Craft","15902","34850 in-state and 34850 out-of-state ","","45"
"Oregon Institute of Technology","","9987 in-state and 28056 out-of-state ","","50"
"Oregon State University","12911","11166 in-state and 30141 out-of-state ","79","60"
"Orleans Technical Institute","","13601 in-state and 13601 out-of-state ","","125"
"Otero Junior College","","4882 in-state and 7861 out-of-state ","","0"
"Otis College of Art and Design","","44580 in-state and 44580 out-of-state ","","60"
"Ottawa University","","27630 in-state and 27630 out-of-state ","","25"
"Otterbein University","","31874 in-state and 31874 out-of-state ","76","35"
"Ouachita Baptist University","23214","26790 in-state and 26790 out-of-state ","71","0"
"Our Lady of the Lake College","","16484 in-state and 16484 out-of-state ","","35"
"Our Lady of the Lake University of San Antonio","23250","28740 in-state and 28740 out-of-state ","91","35"
"Owens Community College","","5860 in-state and 10424 out-of-state ","","20"
"Owensboro Community and Technical College","","5310 in-state and 18000 out-of-state ","","0"
"Oxnard College","","1418 in-state and 9218 out-of-state ","","0"
"Ozark Christian College","","12620 in-state and 12620 out-of-state ","49","0"
"Ozarka College","","3640 in-state and 6580 out-of-state ","","0"
"Ozarks Technical Community College","","4000 in-state and 6760 out-of-state ","","0"
"Pace University","33012","45280 in-state and 45280 out-of-state ","82","50"
"Pacific College of Oriental Medicine: San Diego","9500"," in-state  out-of-state ","","50"
"Pacific International College","","","","5"
"Pacific Lutheran University","34019","42066 in-state and 42066 out-of-state ","75","0"
"Pacific Northwest College of Art","","38250 in-state and 38250 out-of-state ","","45"
"Pacific Oaks College","","34830 in-state and 34830 out-of-state ","","55"
"Pacific Union College","26516","30060 in-state and 30060 out-of-state ","","30"
"Pacific University","34829","44298 in-state and 44298 out-of-state ","84","40"
"Paier College of Art","4999","18040 in-state and 18040 out-of-state ","75","25"
